Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 1.178457	Val Loss: 1.504844	Val Acc: 50
Train Epoch: 6 [23040/49000 (47%)]	Train Loss: 1.044469	Val Loss: 1.526129	Val Acc: 50
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 1.263341	Val Loss: 1.501480	Val Acc: 51
Train Epoch: 6 [28160/49000 (57%)]	Train Loss: 1.204279	Val Loss: 1.493176	Val Acc: 50
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 1.246594	Val Loss: 1.490274	Val Acc: 52
Train Epoch: 6 [33280/49000 (68%)]	Train Loss: 1.195726	Val Loss: 1.463392	Val Acc: 49
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 1.286797	Val Loss: 1.506242	Val Acc: 50
Train Epoch: 6 [38400/49000 (78%)]	Train Loss: 1.215051	Val Loss: 1.533050	Val Acc: 49
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 1.189504	Val Loss: 1.490822	Val Acc: 51
Train Epoch: 6 [43520/49000 (89%)]	Train Loss: 1.245717	Val Loss: 1.555114	Val Acc: 50
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 1.286740	Val Loss: 1.583830	Val Acc: 48
Train Epoch: 6 [48640/49000 (99%)]	Train Loss: 1.351604	Val Loss: 1.526892	Val Acc: 48
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 1.207175	Val Loss: 1.674943	Val Acc: 46
Train Epoch: 7 [2560/49000 (5%)]	Train Loss: 1.263055	Val Loss: 1.620315	Val Acc: 49
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 1.226901	Val Loss: 1.625106	Val Acc: 49
Train Epoch: 7 [7680/49000 (16%)]	Train Loss: 1.253664	Val Loss: 1.604648	Val Acc: 49
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 1.219251	Val Loss: 1.532814	Val Acc: 49
Train Epoch: 7 [12800/49000 (26%)]	Train Loss: 1.035628	Val Loss: 1.568718	Val Acc: 48
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 1.129642	Val Loss: 1.525005	Val Acc: 51
Train Epoch: 7 [17920/49000 (36%)]	Train Loss: 1.134115	Val Loss: 1.565428	Val Acc: 48
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 1.020767	Val Loss: 1.550406	Val Acc: 49
Train Epoch: 7 [23040/49000 (47%)]	Train Loss: 1.099481	Val Loss: 1.545541	Val Acc: 49
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 1.138494	Val Loss: 1.543031	Val Acc: 48
Train Epoch: 7 [28160/49000 (57%)]	Train Loss: 1.228052	Val Loss: 1.590862	Val Acc: 48
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 1.116527	Val Loss: 1.547917	Val Acc: 52
Train Epoch: 7 [33280/49000 (68%)]	Train Loss: 1.161119	Val Loss: 1.524093	Val Acc: 52
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 1.151963	Val Loss: 1.618894	Val Acc: 49
Train Epoch: 7 [38400/49000 (78%)]	Train Loss: 1.287397	Val Loss: 1.560109	Val Acc: 49
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 1.191994	Val Loss: 1.540768	Val Acc: 51
Train Epoch: 7 [43520/49000 (89%)]	Train Loss: 1.112338	Val Loss: 1.566258	Val Acc: 51
Train Epoch: 7 [46080/49000 (94%)]	Train Loss: 1.135520	Val Loss: 1.570696	Val Acc: 51
Train Epoch: 7 [48640/49000 (99%)]	Train Loss: 1.024532	Val Loss: 1.568140	Val Acc: 48
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 1.084801	Val Loss: 1.557778	Val Acc: 49
Train Epoch: 8 [2560/49000 (5%)]	Train Loss: 1.169960	Val Loss: 1.599932	Val Acc: 48
Train Epoch: 8 [5120/49000 (10%)]	Train Loss: 1.055642	Val Loss: 1.533440	Val Acc: 50
Train Epoch: 8 [7680/49000 (16%)]	Train Loss: 1.137328	Val Loss: 1.550114	Val Acc: 51
Train Epoch: 8 [10240/49000 (21%)]	Train Loss: 0.975853	Val Loss: 1.597182	Val Acc: 48
Train Epoch: 8 [12800/49000 (26%)]	Train Loss: 0.961689	Val Loss: 1.571116	Val Acc: 50
Train Epoch: 8 [15360/49000 (31%)]	Train Loss: 0.972978	Val Loss: 1.606069	Val Acc: 50
Train Epoch: 8 [17920/49000 (36%)]	Train Loss: 1.061293	Val Loss: 1.630078	Val Acc: 47
Train Epoch: 8 [20480/49000 (42%)]	Train Loss: 1.122931	Val Loss: 1.533057	Val Acc: 51
Train Epoch: 8 [23040/49000 (47%)]	Train Loss: 0.967157	Val Loss: 1.539318	Val Acc: 50
Train Epoch: 8 [25600/49000 (52%)]	Train Loss: 1.074227	Val Loss: 1.560461	Val Acc: 51
Train Epoch: 8 [28160/49000 (57%)]	Train Loss: 0.977358	Val Loss: 1.558874	Val Acc: 50
Train Epoch: 8 [30720/49000 (62%)]	Train Loss: 1.071395	Val Loss: 1.595244	Val Acc: 50
Train Epoch: 8 [33280/49000 (68%)]	Train Loss: 1.072667	Val Loss: 1.535859	Val Acc: 52
Train Epoch: 8 [35840/49000 (73%)]	Train Loss: 1.035900	Val Loss: 1.544814	Val Acc: 50
Train Epoch: 8 [38400/49000 (78%)]	Train Loss: 0.969055	Val Loss: 1.592644	Val Acc: 50
Train Epoch: 8 [40960/49000 (83%)]	Train Loss: 1.296319	Val Loss: 1.625195	Val Acc: 50
Train Epoch: 8 [43520/49000 (89%)]	Train Loss: 1.180174	Val Loss: 1.563652	Val Acc: 51
Train Epoch: 8 [46080/49000 (94%)]	Train Loss: 1.403770	Val Loss: 1.562068	Val Acc: 51
Train Epoch: 8 [48640/49000 (99%)]	Train Loss: 1.114113	Val Loss: 1.597931	Val Acc: 50
Train Epoch: 9 [0/49000 (0%)]	Train Loss: 0.893306	Val Loss: 1.585868	Val Acc: 51
Train Epoch: 9 [2560/49000 (5%)]	Train Loss: 0.961850	Val Loss: 1.545905	Val Acc: 51
Train Epoch: 9 [5120/49000 (10%)]	Train Loss: 0.925165	Val Loss: 1.526584	Val Acc: 50
Train Epoch: 9 [7680/49000 (16%)]	Train Loss: 0.962328	Val Loss: 1.552292	Val Acc: 51
Train Epoch: 9 [10240/49000 (21%)]	Train Loss: 0.971164	Val Loss: 1.594514	Val Acc: 50
Train Epoch: 9 [12800/49000 (26%)]	Train Loss: 1.175257	Val Loss: 1.578592	Val Acc: 50
